[F]

*FAB- = haba, frijol | #Raiz #Espro
*FABL- = contar | #Raiz #Espro
*FABR- = fabricar | #Raiz #Espro
*FAC- = haya | #Raiz #Espro
*FAJ-R = encender | #Raiz #Espro
*FAJF- = silbar | #Raiz #Espro
*FAJN- = fino | #Raiz #Espro
*FALK = halcon | #Raiz #Espro #Germanico
*FAND- = fundirse | #Raiz #Espro
*FAR- = hacer, fabricar | #Raiz #Espro
*FARB- = pintar | #Raiz #Espro
*FAŽ- = fachada, frente ⭐ | #Raiz #Espro
*FEN-IK- = fenix, purpura-violeta | #Raiz #Espro #Griego

*FEB-R = fiebre | #Raiz #Espro
*FEBL- = debil | #Raiz #Espro
*FEK- = heces | #Raiz #Espro
*FEL- = pelaje | #Raiz #Espro
*FEM- = hembra | #Raiz #Espro
*FEND- = hendir | #Raiz #Espro
*FERM- = firme | #Raiz #Espro
*FES- = festejar | #Raiz #Espro
*FI- = verguenza | #Raiz #Espro
*FIG- = higo | #Raiz #Espro
*FIK- = fijar | #Raiz #Espro
*FIL- = hijo | #Raiz #Espro
*FILM- = pelicula | #Raiz #Espro
*FIN- = terminar | #Raiz #Espro
*FING- = dedo | #Raiz #Espro
*FIŠ- = pescar | #Raiz #Espro
*FIΘ- = creer ⭐ | #Raiz #Espro #Nova
  Nota: raiz mixta.
*FJASK- = fracasar | #Raiz #Espro #Italico
*FJER- = salvaje, fiero, orgulloso | #Raiz #Espro #Frances

*FLA- = amarillo | #Raiz #Espro
*FLA- = inflar | #Raiz #Espro
*FLAC- = superficial | #Raiz #Espro #Germanico
*FLAN- = lados | #Raiz #Espro
*FLAR- = oler | #Raiz #Espro
*FLEB- = vena | #Raiz #Espro
*FLEK-S = doblar ⭐ | #Raiz #Espro
*FLIŽ- = feliz | #Raiz #Espro
*FLO- = florecer | #Raiz #Espro
*FLU- = flotar, fluir | #Raiz #Espro
*FLUG- = volar | #Raiz #Espro
*FO-T- = foto | #Raiz #Espro
*FOB- = miedo | #Raiz #Espro #Griego
*FOK- = enfocar | #Raiz #Espro
*FOL- = caer | #Raiz #Espro
*FON-T- = fuente, brotar | #Raiz #Espro
*-FOR- = fuera, lejos | #sufijo #Espro
*FOR-T = fuerza, potencia | #Raiz #Espro
*FORG- = olvidar | #Raiz #Espro
*FORM- = formar | #Raiz #Espro
*FOS-T = poste ⭐ | #Raiz #Espro
*FOSF- = fosfato | #Raiz #Espro #Griego

*FRA- = hermano | #Raiz #Espro #Latin
*FRAK- = quebrar | #Raiz #Espro #Latin
*FRAND- = delicia | #Raiz #Espro #Frances
*FRANK- = hombre libre | #Raiz #Espro #Germanico
*FRAP- = golpear / golpetear suave | #Raiz #Espro #Frances
*FREM- = extraño | #Raiz #Espro #Germanico
*FREN- = mente ⭐ | #Raiz #Espro #Griego
*FRIC- = frio | #Raiz #Espro #Latin
*FRIS- = fresco | #Raiz #Espro #Latin
*FRIV- = frivolo | #Raiz #Espro #Latin
*FRON- = cara, frente | #Raiz #Espro #Latin
*FROS- = frotar | #Raiz #Espro #Germanico
*FRU- = temprano | #Raiz #Espro #Germanico
*FUM- = fumar | #Raiz #Espro #Latin
*FUND- = fondo | #Raiz #Espro #Latin
*FUR-Z = peer | #Raiz #Espro #Germanico
*FUZ- = refutar | #Raiz #Espro #Nat-mod
Fujigea = Japon | #nom #Espro

[G / Ĝ]

*GAD-R- = cuadro | #Raiz #Espro #Nat-mod
*GAJN- = ganar, obtener | #Raiz #Espro #Anglo
*GAK- = croar | #Raiz #Espro #Nova #Nat-mod
*GAL- = bilis | #Raiz #Espro #Anglo
*GAL- = galos | #Raiz #Espro #Latin
*GAM- = camaron, langosta | #Raiz #Espro #Italico
