[L]

*LABR- = trabajar | #Raiz #Espro #Latin
*LAG- = lago | #Raiz #Espro #Italico
*LAM- = cojear | #Raiz #Espro #Germanico
*LAMP- = lampara | #Raiz #Espro #Latin
*LAND- = tierra | #Raiz #Espro #Germanico
*LANŽ- = lanza | #Raiz #Espro #Latin #Bas
*LARM- = lagrima | #Raiz #Espro #Nova
*LAS- = dejar | #Raiz #Espro #Germanico
*LAT- = leche | #Raiz #Espro #Italico
*LATV- = letonia | #Raiz #Espro
*LAV- = estruendoso | #Raiz #Espro #Germanico
*LAV- = lavar | #Raiz #Espro #Latin
*LAV- = segun, como | #Raiz #Espro #Germanico
*LAV-R = laurel | #Raiz #Espro #Latin
*LAZ- = enlace | #Raiz #Espro
*LAŽ- = cansarse | #Raiz #Espro

*LEG- = leer | #Raiz #Espro #Latin
*LEKS- = elegir | #Raiz #Espro #Nat-mod
*LEO- = leon | #Raiz #Espro #Griego
*LEP- = liebre | #Raiz #Espro #Latin
*LER- = estudiar, aprender | #Raiz #Espro #Nat-mod
*LETV- = Lituania | #Raiz #Espro #Baltico
*LEV- = levantar | #Raiz #Espro #Latin
*LEO- = cuero | #Raiz #Espro #Germanico
*LI- = acostarse | #Raiz #Espro #Nat-mod
*LIG- = hule, ligar, plastico | #Raiz #Espro #Latin
*LIK- = fugar, perder | #Raiz #Espro #Nat-mod #Germanico
*LIL- = lila | #Raiz #Espro #Español
*LIM- = baba | #Raiz #Espro #Germanico
*LIN- = lino | #Raiz #Espro #Latin
*LINGW- = lengua | #Raiz #Espro #Latin
*LIP- = labio | #Raiz #Espro #Germanico
*LIR- = lira | #Raiz #Espro #Griego
*LIST- = lista | #Raiz #Espro #Germanico
*LIVR- = entregar | #Raiz #Espro #Germanico
*LIΘ- = lito, calculo | #Raiz #Espro #Griego
*LIŽ- = permitir | #Raiz #Espro #Latin

*-LO = objeto, partitivo | #sufijo #Espro
*LOJ- = leal | #Raiz #Espro #Anglo #Nat-mod
*LOK- = poner | #Raiz #Espro
*LONG- = largo | #Raiz #Espro
*LONT- = lejos | #Raiz #Espro
*LORD- = señor | #Raiz #Espro #Nova
*LOT- = lote, suerte | #Raiz #Espro #Germanico
*LOĜ- = habitar | #Raiz #Espro
*LOŽ- = aflojar | #Raiz #Espro

*LU- = ellos | #Raiz #Espro #Nova
*LUD- = jugar | #Raiz #Espro
*LUF- = amor | #Raiz #Espro #Nova
*LUK- = seducir, atraer | #Raiz #Espro #Nat-mod
*LUM- = iluminar | #Raiz #Espro
*LUMB- = lumbar | #Raiz #Espro
*LUN- = luna | #Raiz #Espro
*LUP- = lobo | #Raiz #Espro
*LUS- = pulga | #Raiz #Espro

[M]

*-MA = sistema, condicion | #sufijo #Espro #Raiz
*M- = pero | #Raiz #Espro #Italico
*MA-J = madre | #Raiz #Espro
*MA-M- = lactar | #Raiz #Espro
*MAJ- = grande ⭐ | #Raiz #Espro #Nova
*MAKN- = magnetico | #Raiz #Espro #Nova
*MAL- = mal, contra | #Raiz #Espro #Latin
*MALD- = maleolo, tobillo | #Raiz #Espro
*MALO- = cerveza | #Raiz #Espro
*MAN- = mano | #Raiz #Espro #Latin
*MAN- = tela | #Raiz #Espro
*MAND- = mandar | #Raiz #Espro #Latin
*MANK- = faltar | #Raiz #Espro #Italico
*MANĜ- = comer | #Raiz #Espro #Italico
*MAP- = maple | #Raiz #Espro
*MAR- = casarse | #Raiz #Espro #Latin
*MAR- = mar | #Raiz #Espro
*MAR-Ž- = Marte | #Raiz #Espro #Latin
*MARK- = marcar | #Raiz #Espro
*MARM- = marmol | #Raiz #Espro
*MAS- = masa | #Raiz #Espro
*MAT- = amanecer | #Raiz #Espro
*MAV- = malvado | #Raiz #Espro #Nova #Frances
*MAZ- = maiz | #Raiz #Espro #Español
*MAĜ- = magla | #Raiz #Espro #Anglo #Bas
*MAŠ- = mojarse | #Raiz #Espro
*MAŽ- = hacer smak | #Raiz #Espro

*MEC-N = maquina | #Raiz #Espro
*MED- = remediar | #Raiz #Espro #Nova
*MEDR- = maduro | #Raiz #Espro #Español
*MEG- = mega, millon | #Raiz #Espro #Nova
*MEL- = miel | #Raiz #Espro
*MELK- = exprimir | #Raiz #Espro
*MEM- = recordar | #Raiz #Espro
*MEM-BR = propio | #Raiz #Espro
*MERK- = vender | #Raiz #Espro
*MES-TR = maestria | #Raiz #Espro #Frances
*MET- = poner | #Raiz #Espro #Nova
*MEZ- = medio | #Raiz #Espro
*MEZ- = medir | #Raiz #Espro

*MI- = musculo | #Raiz #Espro
*MI- = yo | #Raiz #Espro
*MIKS- = mezclar | #Raiz #Espro
*MIL- = guerra | #Raiz #Espro
*MIL- = milano | #Raiz #Espro #Italico
*MIL- = sonreir | #Raiz #Espro #Nat-mod
*MILD- = suave, gentil | #Raiz #Espro
*MIM- = igual | #Raiz #Espro #Nova
*MIN- = pequeño | #Raiz #Espro
*MINT- = menta | #Raiz #Espro
*MIR- = maravillarse | #Raiz #Espro
*MIR-MIT- = hormiga | #Raiz #Espro
*MIRN- = mirra | #Raiz #Espro #Griego
*MIS- = equivocado | #Raiz #Espro #Germanico
*MIZR- = quejarse | #Raiz #Espro #Nat-mod
*MIŠ- = enviar con proposito | #Raiz #Espro
*MIO = mito, cuento ⭐ | #Raiz #Espro

*-MO = planitivo | #sufijo #Espro
*-MU = gerundivo | #sufijo #Espro
*MOL- = suavizar, moler | #Raiz #Espro
*MON- = moneda | #Raiz #Espro
*MON-T = sobresalir | #Raiz #Espro
*MON-TR = mostrar | #Raiz #Espro
*MOND- = mundo | #Raiz #Espro
*MOP- = trapear | #Raiz #Espro #Anglo #Bas
*MOR-B = enfermo | #Raiz #Espro #Latin
*MOR-G = mañana | #Raiz #Espro
*MOR-N = llorar, duelo | #Raiz #Espro #Anglo
*MOR-T = morir | #Raiz #Espro
*MOSK- = almizcle | #Raiz #Espro
*MOV- = mover | #Raiz #Espro
*-MU- = mutuo | #sufijo #Espro
*MU-Ĝ- = mugir | #Raiz #Espro
*MUL-MUL = resbaladizo | #Raiz #Espro #Nova
*MUM- = momia | #Raiz #Espro
*MUR- = pared | #Raiz #Espro
*MURR- = murmurar | #Raiz #Espro
*MUS- = raton | #Raiz #Espro
*MUZ- = Arte | #Raiz #Espro #Griego

[N]

*N- = no | #Raiz #Espro
*NA-T = nacer ⭐ | #Raiz #Espro #Nat-mod
*NA-V = navegar, nadar ⭐ | #Raiz #Espro
